REGISTRO,ANNO,NUMERO
PG,2023,83544
PG,2023,75069
PG,2023,90131
PG,2023,67522
PG,2023,106893
PG,2023,74234
PG,2023,53877
PG,2023,58958
PG,2023,41508
PG,2023,41389
PG,2023,107975
DELI,2023,212
PG,2023,67701
PG,2023,103729
PG,2023,76780
PG,2023,29943
PG,2023,52655
PG,2023,65878
PG,2023,108587
PG,2023,93404
PG,2023,82747
PG,2023,101544
PG,2023,71828
PG,2023,63781
PG,2022,92003
PG,2023,40184
PG,2023,102228
PG,2023,67752
PG,2023,63898
PG,2023,70262
PG,2023,59035
PG,2023,73799
PG,2023,91597
PG,2023,92414
PG,2023,105801
PG,2023,104298
PG,2023,59593
PG,2023,87372
PG,2023,104964
PG,2023,70419
PG,2023,101848
PG,2023,88411
PG,2023,106216
PG,2023,61565
PG,2023,92007
PG,2023,76373
PG,2023,88315
PG,2023,55063
PG,2023,71858
PG,2023,57328
PG,2023,103095
PG,2023,53682
PG,2023,90300
PG,2023,67839
PG,2023,44524
PG,2023,90963
PG,2023,72344
PG,2023,59505
PG,2023,91817
PG,2023,59712
PG,2023,49159
PG,2023,83243
PG,2023,43468
PG,2023,69173
PG,2023,75526
PG,2023,71503
PG,2023,56323
PG,2023,101514
PG,2023,74744
PG,2023,40312
PG,2023,112071
PG,2023,54502
PG,2023,82168
PG,2023,91466
PG,2023,79885
PG,2023,60194
PG,2023,80447
PG,2023,104465
PG,2023,3591
PG,2023,110012
PG,2023,70083
PG,2023,110808
PG,2023,74045
PG,2023,50300
PG,2023,112689
PG,2023,100881
PG,2023,101163
PG,2023,59553
PG,2023,77891
PG,2023,74777
PG,2023,53964
PG,2023,89308
PG,2023,73937
PG,2023,65622
PG,2023,58516
PG,2023,71000
PG,2023,45867
PG,2023,42128
PG,2023,72601
PG,2023,67857
PG,2023,67227
PG,2023,90231
PG,2023,61586
PG,2023,74867
PG,2023,85226
PG,2023,106743
PG,2023,78353
PG,2023,72170
PG,2023,107887
PG,2023,85823
PG,2023,67387
PG,2023,105135
PG,2023,70398
PG,2023,85790
PG,2023,40544
PG,2023,105770
PG,2023,63908
PG,2023,64955
PG,2023,67385
PG,2023,57320
PG,2023,55150
PG,2023,73090
PG,2023,82219
PG,2023,67909
PG,2023,104702
PG,2023,86456
PG,2023,46476
